f1ch1,f1ch2,f2ch1,f2ch2,f3ch1,f3ch2,f4ch1,f4ch2,Category
0.001206055204277388,0.001690814036025826,0.12044091712996882,0.14829870954989385,14,16,63,41,0
0.001821470887107482,0.002455776396236878,0.19301003139160633,0.24886664115905677,17,18,71,51,0
0.0024582260731245177,0.002997404603006842,0.2964177375938495,0.3146216772264221,22,24,69,55,0
0.0027903440091018206,0.0029772744908006456,0.3556242134609321,0.32670939190953785,24,24,64,55,0
0.002643095289092888,0.0026959136920146785,0.37202872525406466,0.3140308561501357,24,28,67,57,0
0.0024208084469702833,0.0022907389332415666,0.364418536357092,0.26304345462556356,30,26,75,54,0
0.002288697485389518,0.0021200218806973698,0.3454329667256055,0.24723552141606048,30,32,73,51,0
0.0022967183808485668,0.002358563883332771,0.33382128155272167,0.2554676380369578,34,28,70,62,0
0.0019962658348173404,0.002199858159452558,0.28930973206329674,0.2488346873182293,34,28,68,59,0
0.001751276551190371,0.0021283212891876264,0.2633693594162219,0.23327448496141137,34,22,73,70,0
0.0016123937309213343,0.0019696716933286017,0.22960195015766652,0.22630299394245507,30,28,75,68,0
0.0013761369286726863,0.0018573442210835511,0.19614482926115348,0.20134727314667172,40,28,80,64,0
0.0011907016713039499,0.0016874065009420097,0.18506151505907661,0.19008945241002864,38,26,90,66,0
0.0012848901287984694,0.0014766876744026678,0.19804722616563022,0.17752229673046674,36,28,84,66,0
0.001331693611793422,0.0016917974601982724,0.19995452218838602,0.18870677542490838,32,24,80,64,0
0.0014025781245425829,0.0015641307526318823,0.2226397522661794,0.17167436124195137,40,28,72,70,0
0.0015738481219143773,0.0015374791166275102,0.223486322601767,0.1754942331919943,36,24,64,69,0
0.0013193655552202633,0.0015109423326203088,0.2107890832963843,0.16891481437709308,38,24,69,74,0
0.0012496184101286128,0.0011388497375635495,0.19273369542344965,0.15160716763748475,30,26,71,80,0
0.001050923695233066,0.001173736737009826,0.16315350786604615,0.15934261670652988,30,32,77,76,0
0.0009882188116277283,0.0010487954920217165,0.1566113640812599,0.15103783634351386,28,32,83,74,0
0.0008398901108164609,0.0011630137288963596,0.13901034206507568,0.15223176525269885,38,32,83,73,0
0.0008098677436332072,0.0011318140566853564,0.14494965899291531,0.14638967695794447,34,34,80,68,0
0.0007921943550435819,0.0010984778018546578,0.1388779532878154,0.13945815050433388,34,32,81,70,0
0.0007374590797146866,0.0010222250013803287,0.12440863235672384,0.13025082583198677,30,28,80,71,0
0.0008504219261916107,0.0009187380740930242,0.127171675559435,0.1266610077574352,28,32,86,73,0
0.0008693170695576527,0.0009630752892519901,0.12083227242609612,0.12073938214188477,28,28,80,70,0
0.0007791459436034294,0.0009120182548126206,0.1112526075125029,0.11498767253030669,28,24,81,77,0
0.0007960876222485744,0.001027168301125561,0.10746894421776128,0.12320934148052903,26,28,76,68,0
0.0008078653950017463,0.0009426999266911978,0.10599285028913916,0.1142563929832129,30,26,74,73,0
0.0006888671797306761,0.0009491560468703999,0.09506117284355045,0.10878207543365298,30,26,75,77,0
0.0007755596849308999,0.0008818250410554064,0.10717765531335963,0.11192140797457607,30,32,72,77,0
0.000778476352892517,0.000800026270579389,0.10681899941578356,0.10602410132520124,20,34,73,77,0
0.0008225648497408985,0.0008708113785159176,0.10320993049132174,0.11162976211775931,22,36,72,65,0
0.0006951346728721179,0.0009016439089579012,0.10420365606210816,0.11517357885684053,28,32,71,66,0
0.0006374564656961285,0.0009328243710205827,0.09359034276464848,0.11272564597283946,26,32,77,64,0
0.0007053920365072918,0.0009291805828550773,0.0921052938497537,0.10883930759516496,26,22,75,63,0
0.0005738986926061068,0.0008103197633418499,0.08507453302431121,0.09929232329083487,32,18,78,71,0
0.0005459299185518348,0.0008447100633429043,0.08419671733065215,0.09498027427209282,28,24,73,69,0
0.0010994531606342828,0.0011653864430914737,0.15762401810332946,0.13827480749497417,22,20,72,72,0
0.001357780027063418,0.001459376868600103,0.1922198244843458,0.16919981113238045,20,16,72,64,0
0.0015690267530516788,0.0017052512309977614,0.23021057234716424,0.196981514998955,28,24,76,66,0
0.001699875295764878,0.001826073726032528,0.24811428076693676,0.20203144089748395,28,30,76,65,0
0.0013748567620004367,0.0017532334540092253,0.20976979887936503,0.17136767801148395,34,24,77,60,0
0.001295686724886526,0.001626201759006975,0.2020489060181213,0.15303862812233437,38,26,73,69,0
0.00127599032542972,0.0015226526171388723,0.197880992500245,0.15796393772167328,26,22,78,62,0
0.0012332755385189964,0.001615374132041315,0.20119163118199407,0.17265328369049376,30,24,80,60,0
0.0012306269708217729,0.0014032028956951857,0.1865722197213915,0.1597127903946267,30,28,85,62,0
0.0025678513709886525,0.003306509829773087,0.3121718453147852,0.302658882307332,20,18,58,54,1
0.0031678686145865196,0.004874521361213713,0.37272237946891285,0.45512955701416424,28,18,70,58,1
0.0034760103124865426,0.0053931875719325385,0.41369237744809656,0.5460438208986076,28,22,69,52,1
0.0037438763983418627,0.00587053785116177,0.4573127892390449,0.5960827564606687,26,22,72,47,1
0.0032745600339562897,0.006171790749258982,0.4100696983483689,0.6218781782427258,30,22,78,44,1
0.0031304211917268735,0.006450168214337721,0.4076515344509208,0.5831744336372846,28,20,72,52,1
0.0030293836833605614,0.006174355819364992,0.40704210303339,0.5651093442996763,34,22,70,49,1
0.0029839269313096466,0.006572836028133855,0.3887856462302187,0.6031774246561651,34,24,67,44,1
0.0029238647005368256,0.006433689843049118,0.39905718831806203,0.5628861505424124,32,22,67,45,1
0.0032250476755311674,0.006144720645045066,0.41573969502878716,0.5196465344929655,30,20,66,52,1
0.002989945986095899,0.00601436589799037,0.4078883544976414,0.5063710962759665,26,20,65,47,1
0.002516620159910096,0.005466887822794274,0.35503346439904887,0.4899933138162459,28,18,74,56,1
0.002566578364268696,0.005001576431000188,0.34239182663920215,0.4895816235521157,28,26,78,59,1
0.002332153323672462,0.004543425684284114,0.33409014358445227,0.44607896962707144,36,24,80,62,1
0.0022676445432019006,0.0043898586349463255,0.32137706683631034,0.44879927006239706,40,28,79,57,1
0.0022714676181767378,0.0037669572394630584,0.3363377145790447,0.3781597326904952,36,20,74,64,1
0.002050222492428837,0.003810737487827872,0.30905283232775466,0.3554143007758695,36,20,80,59,1
0.0018995171416665338,0.003811857320316485,0.28705469469348943,0.3586577660408989,38,20,75,53,1
0.0018106884121775655,0.0035927331112404776,0.2690697964272416,0.32993094210427626,34,18,77,53,1
0.0019451116778619424,0.003950090449568876,0.26216808088014076,0.3444268139865998,36,18,75,47,1
